sweep_id:  minidev500_r3_20260713_123516_deepseek-v3_2
model:     deepseek-v3.2
replicas:  [3]
policy:    P0_parallel (independent replicas, best_of_n coordination)

=== 3 replicas ===
/workspaces/Cursor Agent Database Optimisation/.venv/bin/python3 -u /workspaces/Cursor Agent Database Optimisation/scripts/run_parallel_batch.py --model deepseek-v3.2 --replicas 3 --policy best_of_n --batch-id minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3 --limit 0
batch_id:     minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3
model:        deepseek-v3.2
replicas:     3
policy:       best_of_n
early_stop:   False
shared_cache: False
discovery:    False
semantic:     False
prompt_cache: False
schema_prune: False (keyword)
db_profile:   False
suppressor:   False
schedule:     {'base_temperature': 0.0, 'temperature_mode': 'uniform', 'temperature_step': 0.2, 'stagger_mode': 'none', 'stagger_seconds': 0.0, 'stagger_turns': 0, 'stagger_poll_seconds': 1.0}
tasks:        500
output:       /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3_deepseek-v3.2_r3_best_of_n.json
[298/500] question_id=531 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[299/500] question_id=532 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[300/500] question_id=533 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[301/500] question_id=539 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[302/500] question_id=537 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[303/500] question_id=544 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[304/500] question_id=547 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[305/500] question_id=549 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[306/500] question_id=555 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[307/500] question_id=557 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[308/500] question_id=563 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[309/500] question_id=565 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[310/500] question_id=567 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[311/500] question_id=568 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[312/500] question_id=571 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[313/500] question_id=572 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[314/500] question_id=573 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[315/500] question_id=576 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[316/500] question_id=578 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[317/500] question_id=581 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[318/500] question_id=584 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[319/500] question_id=586 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[320/500] question_id=587 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[321/500] question_id=592 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[322/500] question_id=595 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[323/500] question_id=598 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[324/500] question_id=604 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[325/500] question_id=629 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[326/500] question_id=633 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[327/500] question_id=634 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[328/500] question_id=637 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[329/500] question_id=639 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[330/500] question_id=640 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[331/500] question_id=665 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[332/500] question_id=669 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[333/500] question_id=671 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[334/500] question_id=672 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[335/500] question_id=678 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[336/500] question_id=682 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[337/500] question_id=683 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[338/500] question_id=685 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[339/500] question_id=687 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[340/500] question_id=694 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[341/500] question_id=701 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[342/500] question_id=704 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[343/500] question_id=705 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[344/500] question_id=707 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[345/500] question_id=710 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[346/500] question_id=716 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[347/500] question_id=340 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[348/500] question_id=341 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[349/500] question_id=344 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[350/500] question_id=345 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[351/500] question_id=346 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[352/500] question_id=347 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[353/500] question_id=349 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[354/500] question_id=352 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[355/500] question_id=356 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[356/500] question_id=358 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[357/500] question_id=366 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[358/500] question_id=368 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[359/500] question_id=371 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[360/500] question_id=377 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[361/500] question_id=379 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[362/500] question_id=383 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[363/500] question_id=391 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[364/500] question_id=397 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[365/500] question_id=402 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[366/500] question_id=405 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[367/500] question_id=407 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[368/500] question_id=408 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[369/500] question_id=409 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[370/500] question_id=412 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[371/500] question_id=414 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[372/500] question_id=415 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[373/500] question_id=416 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[374/500] question_id=422 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[375/500] question_id=424 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[376/500] question_id=427 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[377/500] question_id=440 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[378/500] question_id=459 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[379/500] question_id=462 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[380/500] question_id=465 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[381/500] question_id=466 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[382/500] question_id=468 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[383/500] question_id=469 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[384/500] question_id=472 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[385/500] question_id=473 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[386/500] question_id=474 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[387/500] question_id=477 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[388/500] question_id=479 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[389/500] question_id=480 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[390/500] question_id=483 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[391/500] question_id=484 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[392/500] question_id=486 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[393/500] question_id=487 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[394/500] question_id=518 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[395/500] question_id=522 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[396/500] question_id=528 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[397/500] question_id=529 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[398/500] question_id=530 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[399/500] question_id=195 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[400/500] question_id=197 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[401/500] question_id=198 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[402/500] question_id=200 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[403/500] question_id=201 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[404/500] question_id=206 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[405/500] question_id=207 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[406/500] question_id=208 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[407/500] question_id=212 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[408/500] question_id=213 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[409/500] question_id=215 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[410/500] question_id=218 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[411/500] question_id=219 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[412/500] question_id=220 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[413/500] question_id=226 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[414/500] question_id=227 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[415/500] question_id=228 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[416/500] question_id=230 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[417/500] question_id=231 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[418/500] question_id=232 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[419/500] question_id=234 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[420/500] question_id=236 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[421/500] question_id=239 (simple) x3 ...
  -> EX=1 (2/3 replicas correct)

[422/500] question_id=240 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[423/500] question_id=242 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[424/500] question_id=243 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[425/500] question_id=244 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[426/500] question_id=245 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[427/500] question_id=247 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[428/500] question_id=248 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[429/500] question_id=249 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[430/500] question_id=253 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[431/500] question_id=255 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[432/500] question_id=260 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[433/500] question_id=263 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[434/500] question_id=268 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[435/500] question_id=273 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[436/500] question_id=281 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[437/500] question_id=282 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[438/500] question_id=327 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[439/500] question_id=5 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[440/500] question_id=11 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[441/500] question_id=12 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[442/500] question_id=17 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[443/500] question_id=23 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[444/500] question_id=24 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[445/500] question_id=25 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[446/500] question_id=26 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[447/500] question_id=27 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[448/500] question_id=28 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[449/500] question_id=31 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[450/500] question_id=32 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[451/500] question_id=37 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[452/500] question_id=36 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[453/500] question_id=39 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[454/500] question_id=40 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[455/500] question_id=41 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[456/500] question_id=45 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[457/500] question_id=46 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[458/500] question_id=47 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[459/500] question_id=48 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[460/500] question_id=50 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[461/500] question_id=62 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[462/500] question_id=72 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[463/500] question_id=77 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[464/500] question_id=79 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[465/500] question_id=82 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[466/500] question_id=83 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[467/500] question_id=85 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[468/500] question_id=87 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[469/500] question_id=89 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[470/500] question_id=92 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[471/500] question_id=93 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[472/500] question_id=94 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[473/500] question_id=95 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[474/500] question_id=98 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[475/500] question_id=99 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[476/500] question_id=100 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[477/500] question_id=112 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[478/500] question_id=115 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[479/500] question_id=116 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[480/500] question_id=117 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[481/500] question_id=118 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[482/500] question_id=125 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[483/500] question_id=128 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[484/500] question_id=136 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[485/500] question_id=137 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[486/500] question_id=138 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[487/500] question_id=129 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[488/500] question_id=137 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[489/500] question_id=138 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[490/500] question_id=145 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[491/500] question_id=149 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[492/500] question_id=152 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[493/500] question_id=159 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[494/500] question_id=168 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[495/500] question_id=169 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[496/500] question_id=173 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[497/500] question_id=186 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[498/500] question_id=189 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[499/500] question_id=192 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[500/500] question_id=194 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

Parallel batch minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3
  Tasks:      500 / 500
  EX:         52.4%
  Avg overhead ratio: 3.478
  Avg explore redundancy: 44.83%

Wrote /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3_deepseek-v3.2_r3_best_of_n.json
Wrote /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3_deepseek-v3.2_r3_best_of_n.csv
Batch r=3 exited 1

Sweep finished with 1 failed batch(es).
